"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"1272","JG497245","11/5/2023 12:33:00 AM","9999","CANCELLATION: CANCELLATION",""," NONE NO BIAS","North",16,"PORTAGE PARK",45,"UNFOUNDED",NA,0
"1273","JG497512","11/9/2023 12:24:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",12,"NEAR WEST SIDE",27,"BONA FIDE",NA,0
"1274","JG497940","11/9/2023 2:25:00 PM","460","BATTERY: SIMPLE",""," NONE NO BIAS","Central",12,"HUMBOLDT PARK",27,"UNFOUNDED",NA,1
"1275","JG498784","11/10/2023 11:16:00 AM","1153","DECEPTIVE PRACTICE: FINANCIAL IDENTITY THEFT OVER $ 300",""," NONE NO BIAS","Central",9,"FULLER PARK",20,"UNFOUNDED",NA,0
"1276","JG499501","11/10/2023 8:14:00 PM","143A","WEAPONS VIOLATION: UNLAWFUL POSSESSION - HANDGUN",""," NONE NO BIAS","South",6,"CHATHAM",6,"UNFOUNDED",NA,0
"1277","JG500058","11/10/2023 11:27:00 PM","910","MOTOR VEHICLE THEFT: AUTOMOBILE",""," NONE NO BIAS","North",14,"HUMBOLDT PARK",26,"UNFOUNDED",NA,0
"1278","JG504978","11/15/2023 9:49:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","North",16,"JEFFERSON PARK",45,"BONA FIDE",NA,0
"1279","JG506091","11/15/2023 8:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1280","JG506717","11/16/2023 3:04:00 PM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","Central",1,"LOOP",34,"BONA FIDE",NA,0
"1281","JG506802","11/16/2023 3:39:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)","North",16,"OHARE",41,"BONA FIDE",NA,0
"1282","JG507090","11/16/2023 7:30:00 PM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","B - RELIGION"," ANTI-OTHER RELIGION","North",24,"EDGEWATER",48,"BONA FIDE",NA,0
"1283","JG508273","11/16/2023 1:00:00 PM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","South",22,"BEVERLY",19,"BONA FIDE",NA,1
"1284","JG511474","10/10/2023 10:00:00 PM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",9,"BRIGHTON PARK",12,"BONA FIDE",NA,0
"1285","JG512747","11/3/2023 12:20:00 PM","2820","OTHER OFFENSE: TELEPHONE THREAT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"1286","JG512897","11/21/2023 12:00:00 PM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"1287","JG519384","11/6/2023 9:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"1288","JG520597","11/28/2023 12:48:00 PM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"1289","JG521051","11/12/2023 8:30:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",1,"LOOP",42,"BONA FIDE",NA,1
"1290","JG522421","11/28/2023 7:40:00 PM","430","BATTERY: AGGRAVATED - OTHER DANGEROUS WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",9,"ARMOUR SQUARE",11,"BONA FIDE",NA,1
"1291","JG523104","11/30/2023 7:51:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",15,"AUSTIN",29,"BONA FIDE",NA,0
"1292","JG524740","11/29/2023 11:00:00 AM","530","ASSAULT: AGGRAVATED - OTHER DANGEROUS WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",1,"LOOP",34,"BONA FIDE",NA,1
"1293","JG526484","11/29/2023 7:00:00 PM","560","ASSAULT: SIMPLE","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",16,"OHARE",41,"BONA FIDE",NA,1
"1294","JG527014","11/16/2023 2:30:00 PM","5004","SEX OFFENSE: ATTEMPT CRIMINAL SEXUAL ABUSE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"EAST GARFIELD PARK",28,"BONA FIDE",NA,0
"1295","JG529425","11/28/2023 3:00:00 PM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"WEST RIDGE",40,"BONA FIDE",NA,1
"1296","JG531056","12/6/2023 2:05:00 PM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"1297","JG531056","12/6/2023 2:05:00 PM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"1298","JG533711","12/8/2023 4:30:00 PM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"1299","JG533711","12/8/2023 4:30:00 PM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"1300","JG534482","12/9/2023 10:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"1301","JG535011","12/8/2023 4:30:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"LINCOLN PARK",32,"BONA FIDE",NA,0
"1302","JG538056","12/12/2023 7:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",14,"AVONDALE",35,"BONA FIDE",NA,0
"1303","JG538091","12/11/2023 2:00:00 PM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",12,"WEST TOWN",36,"BONA FIDE",NA,0
"1304","JG538340","12/11/2023 7:30:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",12,"WEST TOWN",36,"BONA FIDE",NA,0
"1305","JG538896","12/12/2023 9:30:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","North",17,"IRVING PARK",35,"BONA FIDE",NA,0
"1306","JG539277","12/10/2023 6:58:00 PM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,0
"1307","JG539277","12/10/2023 6:58:00 PM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",1,"LOOP",42,"BONA FIDE",NA,0
"1308","JG541277","12/14/2023 7:04:00 PM","520","ASSAULT: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"1309","JG542332","12/15/2023 2:30:00 PM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",16,"DUNNING",30,"BONA FIDE",NA,1
"1310","JG543545","12/16/2023 3:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"1311","JG544104","12/16/2023 7:40:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"1312","JG544737","12/17/2023 11:46:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"1313","JG545488","12/18/2023 12:29:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",14,"AVONDALE",35,"BONA FIDE",NA,0
"1314","JG547251","12/19/2023 6:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"UPTOWN",48,"BONA FIDE",NA,1
"1315","JG549529","12/21/2023 1:00:00 PM","420","BATTERY: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",12,"LOWER WEST SIDE",25,"BONA FIDE",NA,1
"1316","JG549529","12/21/2023 1:00:00 PM","420","BATTERY: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",12,"LOWER WEST SIDE",25,"BONA FIDE",NA,1
"1317","JG552675","12/23/2023 7:58:00 PM","420","BATTERY: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"BELMONT CRAGIN",26,"BONA FIDE",NA,1
"1318","JG556007","12/27/2023 12:01:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",20,"WEST RIDGE",50,"BONA FIDE",NA,0
"1319","JG556007","12/27/2023 12:01:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",20,"WEST RIDGE",50,"BONA FIDE",NA,0
"1320","JG556546","12/27/2023 4:26:00 PM","1330","CRIMINAL TRESPASS: TO LAND","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1321","JG556546","12/27/2023 4:26:00 PM","1330","CRIMINAL TRESPASS: TO LAND","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1322","JG557289","12/28/2023 12:15:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1323","JG557289","12/28/2023 12:15:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1324","JG557373","12/28/2023 11:58:00 AM","5079","NON-CRIMINAL: MENTAL HEALTH TRANSPORT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",3,"WOODLAWN",20,"BONA FIDE",NA,0
"1325","JG557373","12/28/2023 11:58:00 AM","5079","NON-CRIMINAL: MENTAL HEALTH TRANSPORT","B - RELIGION"," ANTI-JEWISH","Central",3,"WOODLAWN",20,"BONA FIDE",NA,0
"1326","JG557404","12/28/2023 12:34:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1327","JG557404","12/28/2023 12:34:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1328","JG557585","12/28/2023 12:32:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1329","JG557585","12/28/2023 12:32:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1330","JG558373","12/28/2023 12:00:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1331","JH102803","1/2/2024 9:30:00 PM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"1332","JH103571","1/3/2024 8:00:00 PM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"SOUTH DEERING",7,"BONA FIDE",NA,1
"1333","JH104289","1/2/2024 7:30:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"HYDE PARK",4,"BONA FIDE",NA,1
"1334","JH108588","11/3/2023 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1335","JH109300","1/8/2024 9:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","South",22,"MORGAN PARK",19,"BONA FIDE",NA,0
"1336","JH109658","1/6/2024 4:15:00 PM","420","BATTERY: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"SOUTH SHORE",8,"BONA FIDE",NA,1
"1337","JH109815","1/9/2024 7:57:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"NORTH CENTER",47,"BONA FIDE",NA,0
"1338","JH113381","1/12/2024 10:30:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"1339","JH115992","1/15/2024 7:08:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",28,"BONA FIDE",NA,0
"1340","JH115992","1/15/2024 7:08:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",12,"NEAR WEST SIDE",28,"BONA FIDE",NA,0
"1341","JH116235","1/13/2024 5:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",34,"BONA FIDE",NA,0
"1342","JH121586","1/18/2024 6:30:00 PM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"ENGLEWOOD",16,"BONA FIDE",NA,1
"1343","JH121741","1/19/2024 3:30:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",14,"WEST TOWN",26,"BONA FIDE",NA,0
"1344","JH121741","1/19/2024 3:30:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","North",14,"WEST TOWN",26,"BONA FIDE",NA,0
"1345","JH128130","1/25/2024 5:25:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1346","JH128176","1/23/2024 8:37:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1347","JH130818","1/27/2024 11:39:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1348","JH131511","1/28/2024 2:00:00 PM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",8,"CLEARING",13,"BONA FIDE",NA,1
"1349","JH133360","1/29/2024 2:00:00 PM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",11,"HUMBOLDT PARK",37,"BONA FIDE",NA,0
"1350","JH133729","1/30/2024 12:30:00 PM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1351","JH134641","1/31/2024 7:54:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"UPTOWN",46,"BONA FIDE",NA,1
"1352","JH134797","1/31/2024 1:30:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1353","JH134932","1/31/2024 11:44:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1354","JH134947","1/31/2024 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",14,"WEST TOWN",26,"BONA FIDE",NA,0
"1355","JH135998","1/31/2024 3:00:00 PM","460","BATTERY: SIMPLE","D - DISABILITY"," ANTI-MENTAL DISABILITY","North",14,"LOGAN SQUARE",35,"BONA FIDE",NA,1
"1356","JH136067","2/1/2024 10:15:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1357","JH138786","2/3/2024 8:40:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"1358","JH138808","2/2/2024 12:00:00 PM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",12,"LOWER WEST SIDE",25,"BONA FIDE",NA,0
"1359","JH139445","2/4/2024 4:37:00 AM","041A","BATTERY: AGGRAVATED - HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",10,"SOUTH LAWNDALE",25,"BONA FIDE",NA,1
"1360","JH139445","2/4/2024 4:37:00 AM","041A","BATTERY: AGGRAVATED - HANDGUN","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",10,"SOUTH LAWNDALE",25,"BONA FIDE",NA,1
"1361","JH139832","2/2/2024 9:30:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1362","JH140467","2/5/2024 6:50:00 AM","530","ASSAULT: AGGRAVATED - OTHER DANGEROUS WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"HERMOSA",35,"BONA FIDE",NA,1
"1363","JH141094","2/5/2024 12:00:00 PM","3960","INTIMIDATION: INTIMIDATION","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1364","JH141665","2/5/2024 10:45:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-HINDU","North",16,"OHARE",41,"BONA FIDE",NA,0
"1365","JH141916","2/6/2024 6:30:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",18,"LINCOLN PARK",2,"BONA FIDE",NA,0
"1366","JH141974","2/6/2024 9:26:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",18,"LINCOLN PARK",2,"BONA FIDE",NA,0
"1367","JH142315","2/6/2024 12:05:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"1368","JH143339","1/31/2024 10:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","North",19,"NORTH CENTER",32,"BONA FIDE",NA,0
"1369","JH145367","2/4/2024 12:15:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1370","JH145403","2/8/2024 10:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1371","JH150589","2/13/2024 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","North",25,"BELMONT CRAGIN",30,"BONA FIDE",NA,0
"1372","JH150692","2/13/2024 10:50:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"CALUMET HEIGHTS",8,"BONA FIDE",NA,0
"1373","JH151976","2/13/2024 2:30:00 PM","2820","OTHER OFFENSE: TELEPHONE THREAT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",10,"NORTH LAWNDALE",24,"BONA FIDE",NA,0
"1374","JH152002","2/13/2024 8:00:00 PM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"EAST GARFIELD PARK",28,"BONA FIDE",NA,0
"1375","JH156554","2/17/2024 10:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"1376","JH156559","2/17/2024 12:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"1377","JH156616","2/18/2024 8:30:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"1378","JH156639","2/17/2024 12:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"1379","JH156710","2/18/2024 11:15:00 AM","420","BATTERY: AGGRAVATED - KNIFE / CUTTING INSTRUMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"1380","JH156801","2/4/2024 4:30:00 PM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"LINCOLN PARK",2,"BONA FIDE",NA,0
"1381","JH157617","2/19/2024 7:40:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"NEAR SOUTH SIDE",3,"BONA FIDE",NA,1
"1382","JH157917","1/23/2024 12:28:00 PM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"1383","JH161501","2/22/2024 1:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"1384","JH161856","2/22/2024 4:00:00 PM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","North",20,"EDGEWATER",40,"BONA FIDE",NA,0
"1385","JH162105","2/22/2024 6:21:00 PM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","Central",9,"NEW CITY",20,"BONA FIDE",NA,1
"1386","JH162736","2/20/2024 7:00:00 PM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",1,"LOOP",34,"BONA FIDE",NA,0
"1387","JH165012","2/22/2024 12:01:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"1388","JH166053","2/26/2024 7:50:00 AM","502T","OTHER OFFENSE: TAMPER WITH MOTOR VEHICLE","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",32,"BONA FIDE",NA,0
"1389","JH166085","2/26/2024 6:45:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","North",14,"WEST TOWN",32,"BONA FIDE",NA,0
"1390","JH166111","2/25/2024 6:00:00 PM","502T","OTHER OFFENSE: TAMPER WITH MOTOR VEHICLE","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",32,"BONA FIDE",NA,0
