"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"447","JB395513","8/16/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",34,"BONA FIDE",NA,1
"448","JB395513","8/16/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,1
"449","JB401366","8/19/2018 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-CATHOLIC","Central",18,"NEAR NORTH SIDE",32,"BONA FIDE",NA,0
"450","JB411171","8/27/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",4,"SOUTH SHORE",8,"BONA FIDE",NA,1
"451","JB414875","8/30/2018 12:00:00 AM","110","HOMICIDE: FIRST DEGREE MURDER","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",2,"GRAND BOULEVARD",3,"BONA FIDE",NA,1
"452","JB415758","8/30/2018 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",17,"PORTAGE PARK",38,"BONA FIDE",NA,0
"453","JB424785","9/6/2018 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LINCOLN PARK",43,"BONA FIDE",NA,1
"454","JB424905","9/6/2018 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LINCOLN SQUARE",47,"BONA FIDE",NA,1
"455","JB433678","9/13/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",7,"ENGLEWOOD",17,"BONA FIDE",NA,1
"456","JB436282","9/15/2018 12:00:00 AM","460","BATTERY: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"457","JB439030","9/14/2018 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"EDISON PARK",41,"BONA FIDE",NA,0
"458","JB450137","9/25/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"EDGEWATER",48,"BONA FIDE",NA,1
"459","JB450137","9/25/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"EDGEWATER",49,"BONA FIDE",NA,1
"460","JB451454","9/26/2018 12:00:00 AM","3960","INTIMIDATION: INTIMIDATION","B - RELIGION","ANTI-ISLAMIC/MUSLIM","Central",2,"KENWOOD",4,"BONA FIDE",NA,0
"461","JB452299","9/26/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"EAST GARFIELD PARK",28,"BONA FIDE",NA,0
